"TripID","Site","TrapType","FoodDim1","FoodDim2","ConsDim1","ConsDim2"
"VACOU4794S","Bamburi","Gated",-1.05674310888625,-0.445458348358192,0.719050759918168,-2.08733539114522
"DWXCS7729Z","Bamburi","Gated",0.369615566106531,2.11782043784658,0.0295317332854593,-0.995043676692288
"SERHW3958R","Bamburi","Gated",-1.44636387826741,-0.0902313406612365,-0.324427116736445,-2.31533627410609
"GKBXM4569E","Bamburi","Gated",-1.11172800422298,-0.758774353241716,0.0792591515696999,-1.69307461359003
"CMRWV1173H","Bamburi","Gated",-1.50248325196412,0.218452986561767,-0.488158802574303,-1.57215274960878
"GLPCS9971V","Bamburi","Gated",-0.153258734351504,1.14153420428189,0.529645962667435,-2.09851772510872
"PFUYC6164U","Munje","Gated",5.07175236999193,0.39913106795733,0.27507878976766,0.299864885617577
"VAVQS5777J","Bamburi","Gated",-1.41170699716693,0.103491624059604,0.311972264474237,-2.1762824196085
"BFOMK8462W","Bamburi","Gated",-1.13414045230288,-0.725811420748757,0.122002299933732,-2.21779103289136
"RIHOJ6916O","Bamburi","Gated",-1.02278606397994,-0.5900865516341,-0.163861620368376,-1.71815092312645
"GWSLU5036C","Bamburi","Gated",0.210517739286797,-0.306229247994331,0.455128202038681,-2.14500271459892
"LPOVL8868F","Bamburi","Gated",-0.546756086709688,0.466690810598831,0.347491858684532,-2.16852135536024
"HVJUZ5885N","Bamburi","Gated",-0.00893489590955848,2.37861407367562,0.541519304960676,-2.12612617855837
"GVEXP6071T","Bamburi","Gated",-0.970389940906506,-0.915806492432603,0.48582870523675,-2.13829462620231
"ORHBB9192G","Bamburi","Gated",-0.925431214608244,-0.546279447193474,0.827605025369864,-2.06361618355502
"XCTGC2842U","Bamburi","Gated",1.04474864949964,4.35424476289133,0.41374188833522,-2.15404566249268
"TWLAX0704X","Bamburi","Gated",-1.12551864498217,-0.377930570434374,0.0550436043480352,-1.57583032257556
"IMTWZ9571W","Bamburi","Gated",-0.702969084592984,-0.761788194258595,-0.142668070637143,-1.41405195060871
"ZWRYZ4324S","Bamburi","Gated",-0.859171604744755,0.603935254320979,-0.374548656487978,-2.32628787698563
"BCNOK1589Y","Nyali","Gated",-1.54472666651,0.405661541162175,1.25372821333263,-0.503903989849493
"SNEJT9331H","Nyali","Gated",-0.863939533587192,-0.518139712387688,0.507655213979574,1.92343038485945
"ZWNDT3593L","Nyali","Traditional",-0.179511244849332,0.715982643753323,2.38240688808011,0.402460465777402
"GGGTW0673K","Nyali","Traditional",-1.30829441811787,-0.0323341159499317,2.61223662196616,0.452678475597297
"ZGZTE1879E","Nyali","Traditional",-0.936068881557736,-0.590366616951397,2.74792945378082,0.482327485085057
"XYOEY7506V","Nyali","Traditional",-0.467914287253204,-0.478663490702775,2.52177473408974,0.432912469272122
"UKMPL9502T","Nyali","Traditional",-0.358116457779286,0.199618943379971,2.51894780009361,0.432294781574464
"KAYGT6108N","Nyali","Traditional",-1.45799825299495,0.211998639496767,1.58123050045732,0.356750239609205
